用户问题/症状,用户1级需求,用户2级需求
情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
消极行为（熬夜酗酒吸烟不健康饮食）,承认自己的不健康行为，提醒自己值得好好活着,鼓励自己寻找替代行为，减少不健康行为
拖延求职,提醒自己做一点点求职准备就好,鼓励自己制定计划，逐步进行求职
社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
缺乏感恩的能力,提醒自己拥有许多东西,感恩自己所拥有的东西
情绪：迷茫（人生规划）,承认并接受自己对于人生规划的迷茫,鼓励自己重新评估现状与规划未来
身材焦虑,提醒自己身体天然是美的,鼓励自己接受并赞美自己的身体
情绪：迷茫（人生规划）,承认并接受自己对于人生规划的迷茫,鼓励自己重新评估现状与规划未来
情绪：焦虑（生活不受控）,承认并接受自己生活不受控,鼓励自己提高对生活的掌控
社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
猜疑（对对方负面想象）,承认并接受自己的猜疑,鼓励自己信任对方，减少负面想象
容貌焦虑,提醒自己容貌天然是美的,鼓励自己接受并赞美自己的外貌
情绪：孤独,承认并接受自己的孤独感,提醒自己不是一个人，有人愿意关心自己，鼓励自己寻求支持和新的连接
情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
拖延求职,提醒自己做一点点求职准备就好,鼓励自己制定计划，逐步进行求职
情绪：焦虑（经济压力）,承认并接受自己的焦虑,鼓励自己寻找资源，改善经济状况
认知失调（以沉迷痛苦的形式伤害自己，证明自己的爱和自义，自怜）,识别对自己有害的行为，承认自己受到了伤害,阻止对自己有害的行为
情绪：焦虑（关系进展）,承认并接受自己对于关系进展的关注,提醒自己在爱里任何进展都是可以承受的
悲观,承认并接受自己的悲观情绪,鼓励自己冷静理性，重拾生活的信心
回避交流,承认并接受自己的回避交流,鼓励自己尝试表达，改善沟通
情绪：焦虑（人际关系）,承认并接受自己对于人际关系的关注,鼓励自己改善人际关系，寻求支持
自毁冲动,承认并接受自己的自毁冲动,鼓励自己寻找替代行为，减少自毁冲动
情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
拖延决策,承认并接受自己对于决策的慎重,鼓励自己从小事做起，逐步提高决策能力和效率
情绪：悲伤,承认并接受自己的悲伤,鼓励自己寻找处理悲伤的方法
情绪：焦虑（关系进展）,承认并接受自己对于关系进展的关注,提醒自己在爱里任何进展都是可以承受的
社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
身材焦虑,提醒自己身体天然是美的,鼓励自己接受并赞美自己的身体
情绪：迷茫（人生规划）,承认并接受自己对于人生规划的迷茫,鼓励自己重新评估现状与规划未来
情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
情绪：孤独,承认并接受自己的孤独感,提醒自己不是一个人，有人愿意关心自己，鼓励自己寻求支持和新的连接
,,
自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
对人失去信心（恐惧再次受伤）,承认并接受自己的恐惧,鼓励自己增强心理韧性，减少对受伤的恐惧
情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
社交退缩,提醒自己值得拥有健康的人际关系,鼓励自己尝试社交，建立新的连接
无意识侵犯对方自主权（包办/强制放债/爹味）,承认自己的越界行为,鼓励自己尊重对方的自主权，改善沟通
情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
社交退缩,提醒自己值得拥有健康的人际关系,鼓励自己尝试社交，建立新的连接
信任问题,承认并接受自己的信任问题,鼓励自己建立信任，减少猜疑
欲望降低,承认并接受自己的欲望降低,肯定自己的每一次快乐
情绪：焦虑（生活不受控）,承认并接受自己的焦虑,鼓励自己提高对生活的掌控
社交退缩,提醒自己值得拥有亲密关系,鼓励自己尝试社交，建立新的连接
消极比较,承认并接受自己的消极比较,鼓励自己减少与他人比较，增强自信
否定过去的关系（否定关系中的爱）,提醒自己过去的经历是有意义的，鼓励自己发现关系中的爱,鼓励自己从这份爱里获得力量，继续前行
自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
家庭冲突,承认并接受家庭冲突的存在,鼓励自己寻找解决冲突的方法
