用户问题/症状,用户1级需求,用户2级需求,自我肯定语,生产者,参考需求,反思日志,zhihu_link
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我穿梭虚拟雨林携带昨日种子在时间缝隙中培育未来轮廓,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我紧握Wi-Fi信号昔日微风中感受到未来节奏的搏动,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我织入宇宙肌理寻觅过去影像在基因编码中盼传输希望,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我手握加密钥匙在数字深渊中释放过往星辰的能量,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我飞翔云端家园集纳时空的馈赠慷慨地播种创世的种子,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我解读光年信件解锁历史深处每一瞬的我细数未来枝丫,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在数据河流中航行挽起细流感受每一拍流年悄送新季,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我执毅先锋快帆在时间风浪中稳稳航向未知的星辰,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我握紧温暖光束于指尖编织高维梦境静待宇宙信息,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我穿行于风中的信息碎片在记忆岛屿上搜集往昔编织现在的脉络,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在云端跳绳翼着触觉数据萤火着我正编织未来网,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,跨越Digital海洋我触及过去的回声此刻雏形着未来触觉编码,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,在光明编码基因里我握紧Wi-Fi信号传递此刻智慧至未来坐标,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我种植现在数据根系深扎过往养分此刻结出未来云端果实,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,流动的数据河中我探脉历史的律动此刻引航向未知的光年,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
